Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_l_base_link,0.00014393,0.0032791,0.072577,0,0,0,0.981,0.00028046,2.7566E-06,3.6149E-06,0.00016607,-5.1673E-06,0.00017073,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_base_link.STL,,5LZ.300.012-1/5LZ.300.002-1/8LZ.130.004-1;5LZ.300.012-1/8LZ.100.021-1;5LZ.300.013-1/8LZ.100.022-1;5LZ.300.013-1/采购-护线圈K6-8-1;5LZ.300.012-1/GB／T818-2000十字槽盘头螺钉M2×25-2;5LZ.300.012-1/GB／T818-2000十字槽盘头螺钉M2×25-1;5LZ.300.012-1/GB／T818-2000十字槽盘头螺钉M2×25-4;5LZ.300.012-1/GB／T818-2000十字槽盘头螺钉M2×25-3;5LZ.300.012-1/5LZ.300.002-1/5LZ.300.001-1/8LZ.100.020-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.001-1/8LZ.100.010-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-4/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-4/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2,base_L_c1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hand_l_thumb_Link1,-0.010999,4.5578E-05,-0.0068195,0,0,0,0.025,1.1917E-06,3.1498E-08,4.0496E-07,2.5046E-06,-2.8213E-08,1.8935E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_thumb_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_thumb_Link1.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/5LZ.200.002-1/8LZ.100.006-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/5LZ.200.002-1/8LZ.240.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/5LZ.200.002-1/GB73-85开槽平端紧定螺钉M2．5×3-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/GB／T819．1-2000十字槽沉头螺钉M2×5×3.5-2;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/GB／T819．1-2000十字槽沉头螺钉M2×5×3.5-3,hand_L_thumb c1,hand_L_thumb 1,hand_l_thumb_joint1,revolute,0.024038,-0.0172,0.073382,0,0,1.5708,hand_l_base_link,0,0,1,0,0,0,2.0944,,,,,,,,
hand_l_thumb_Link2,-0.020106,-0.00071307,-0.00050189,0,0,0,0.026,1.1544E-06,-2.2257E-07,2.7842E-08,5.5078E-06,1.4408E-07,5.7386E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_thumb_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_thumb_Link2.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/5LZ.200.010-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/5LZ.100.004-2/8LZ.100.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/8LZ.130.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/GB／T818-2000十字槽盘头螺钉M2×12-2;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/GB／T818-2000十字槽盘头螺钉M2×12-1,hand_L_thumb c2,hand_L_thumb 2,hand_l_thumb_joint2,revolute,-0.019998,-0.00029048,-0.002625,-1.5708,0,0,hand_l_thumb_Link1,-0.014524,0,0.99989,0,0,0,1.5708,,,,,,,,
hand_l_thumb_Link3,-0.02206,0.0020051,-8.9965E-05,0,0,0,0.022,4.6091E-07,1.4244E-07,-5.5554E-08,2.1878E-06,1.1932E-08,1.9573E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_thumb_Link3.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_thumb_Link3.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/8LZ.130.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/5LZ.200.010-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.300.005-1/5LZ.300.004-1/5LZ.300.003-1/5LZ.200.006-1/5LZ.200.005-1/5LZ.200.010-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1,hand_L_thumb c3,hand_L_thumb 3,hand_l_thumb_joint3,revolute,-0.040982,-0.0039742,-0.0007953,0,0,0,hand_l_thumb_Link2,-0.014524,0,0.99989,0,0,0,1.5708,,,,,,,,
hand_l_index_Link1,0.00071307,-0.020034,-0.0017685,0,0,0,0.026,5.5078E-06,2.3246E-07,-1.2752E-07,1.1746E-06,-3.0474E-07,5.7184E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_index_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_index_Link1.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/8LZ.130.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.004-1/8LZ.100.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-3;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-4,hand_L_index c1,hand_L_index  1,hand_l_index_joint1,revolute,0.0022544,-0.029001,0.12577,-1.5708,0,0,hand_l_base_link,0,-0.087156,0.99619,0,0,0,1.5708,,,,,,,,
hand_l_index_Link2,-2.9272E-05,-0.017018,-0.0012702,0,0,0,0.022,2.1929E-06,-1.412E-07,-2.2253E-08,4.82E-07,-1.6379E-07,1.9505E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_index_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_index_Link2.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/8LZ.130.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/8LZ.240.001-1,hand_L_index c2,hand_L_index 2,hand_l_index_joint2,revolute,0.002,-0.044829,-0.003922,0,0,0,hand_l_index_Link1,0,-0.087156,0.99619,0,0,0,1.5708,,,,,,,,
hand_l_middle_Link1,0.00071308,-0.020112,-1.5738E-05,0,0,0,0.026,5.5078E-06,2.2045E-07,-1.473E-07,1.1562E-06,9.4401E-08,5.7368E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_middle_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_middle_Link1.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.004-1/8LZ.100.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/8LZ.130.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-3;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-4,hand_L_middle c1,hand_L_middle 1,hand_l_middle_joint1,revolute,0.0022544,-0.005,0.13076,-1.5708,0,0,hand_l_base_link,0,0,1,0,0,0,1.5708,,,,,,,,
hand_l_middle_Link2,-2.9269E-05,-0.017064,0.00021787,0,0,0,0.022,2.1929E-06,-1.426E-07,-9.8617E-09,4.6471E-07,-3.3799E-08,1.9678E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_middle_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_middle_Link2.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/8LZ.130.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/8LZ.240.001-1,hand_L_middle c2,hand_L_middle 2,hand_l_middle_joint2,revolute,0.002,-0.045,0,0,0,0,hand_l_middle_Link1,0,0,1,0,0,0,1.5708,,,,,,,,
hand_l_ring_Link1,0.00071307,-0.020036,0.0017372,0,0,0,0.026,5.5078E-06,2.0678E-07,-1.6595E-07,1.2074E-06,4.9068E-07,5.6856E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_ring_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_ring_Link1.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/8LZ.130.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.004-1/8LZ.100.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-3;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-4,hand_L_ring c1,hand_L_ring 1,hand_l_ring_joint1,revolute,0.0022544,0.018999,0.12574,-1.5708,0,0,hand_l_base_link,0,0.087156,0.99619,0,0,0,1.5708,,,,,,,,
hand_l_ring_Link2,-2.9287E-05,-0.01698,0.0017043,0,0,0,0.022,2.1929E-06,-1.4292E-07,2.6048E-09,4.7026E-07,9.7218E-08,1.9622E-06,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_ring_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LG-SG002-URDF-L.SLDASM/meshes/hand_l_ring_Link2.STL,,5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/8LZ.130.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/8LZ.240.001-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.012-1/5LZ.300.011-1/5LZ.300.010-1/5LZ.300.009-1/5LZ.300.008-1/5LZ.300.007-1/5LZ.300.006-1/5LZ.100.001-2/5LZ.100.016-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1,hand_L_ring c2,hand_L_ring 2,hand_l_ring_joint2,revolute,0.002,-0.044829,0.003922,0,0,0,hand_l_ring_Link1,0,0.087156,0.99619,0,0,0,1.5708,,,,,,,,
