Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_r_base_link,0.00055355,-0.0032336,0.072293,0,0,0,0.981,0.00029283,-3.2349E-06,4.0206E-06,0.00017245,5.3438E-06,0.00017748,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_base_link.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_base_link.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-4/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/5LZ.100.009-1/8LZ.100.005-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-4/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.010-1/8LZ.240.002-2;5LZ.300.034-1/5LZ.300.021-1/8LZ.130.003-1;5LZ.300.034-1/8LZ.100.019-1;5LZ.300.034-1/5LZ.300.021-1/5LZ.300.020-1/8LZ.100.018-1;8LZ.100.022-1;采购-护线圈K6-8-1;5LZ.300.034-1/GB／T818-2000十字槽盘头螺钉M2×25-3;5LZ.300.034-1/GB／T818-2000十字槽盘头螺钉M2×25-2;5LZ.300.034-1/GB／T818-2000十字槽盘头螺钉M2×25-4;5LZ.300.034-1/GB／T818-2000十字槽盘头螺钉M2×25-5;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.001-1/8LZ.100.010-1,base coordinate frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hand_r_thumb_Link1,0.00029432,-0.011119,0.0077731,0,0,0,0.025,2.5029E-06,5.0548E-08,3.409E-08,1.1923E-06,-4.0451E-07,1.8927E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_thumb_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_thumb_Link1.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/5LZ.200.002-1/8LZ.100.006-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/5LZ.200.002-1/GB73-85开槽平端紧定螺钉M2．5×3-2;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/5LZ.200.002-1/8LZ.240.002-1,hand_R_thumb joint coordinate1,hand_R_thumb joint 1,hand_r_thumb_joint1,revolute,0.023754,0.017,0.074512,3.1416,0,0,hand_r_base_link,0,0,1,0,0,0,2.0944,,,,,,,,
hand_r_thumb_Link2,0.020113,0.00071363,-0.00021032,0,0,0,0.026,1.1561E-06,-2.203E-07,-9.4353E-08,5.5071E-06,-1.4729E-07,5.736E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_thumb_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_thumb_Link2.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/5LZ.100.004-2/8LZ.100.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/5LZ.200.010-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/8LZ.130.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/GB／T818-2000十字槽盘头螺钉M2×12-2;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/GB／T818-2000十字槽盘头螺钉M2×12-1,hand_R_thumb joint coordinate2,hand_R_thumb joint  2,hand_r_thumb_joint2,revolute,0,-0.02,0.0037555,-1.5708,0,-1.5708,hand_r_thumb_Link1,0,0,1,0,0,0,1.5708,,,,,,,,
hand_r_thumb_Link3,0.018051,-3.1119E-05,0.00022951,0,0,0,0.022,4.597E-07,1.426E-07,3.3871E-08,2.1884E-06,-9.8712E-09,1.9591E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_thumb_Link3.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_thumb_Link3.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/5LZ.200.010-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/8LZ.130.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.300.026-1/5LZ.300.025-1/5LZ.300.022-1/5LZ.200.015-1/5LZ.200.005-1/5LZ.200.010-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1,hand_R_thumb joint coordinate3,hand_R_thumb joint 3,hand_r_thumb_Link3,revolute,0.045,0.002,-0.00020013,0,0,0,hand_r_thumb_Link2,0,0,1,0,0,0,1.5708,,,,,,,,
hand_r_index_Link1,-0.00071284,0.020037,0.0017372,0,0,0,0.026,5.5075E-06,2.0679E-07,1.6598E-07,1.2074E-06,-4.9066E-07,5.6853E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_index_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_index_Link1.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.004-1/8LZ.100.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/8LZ.130.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-3;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-4,hand_R_index joint coordinate1,hand_R_index joint 1,hand_r_index_joint1,revolute,0.0022543,0.029,0.12576,1.5708,0,3.1416,hand_r_base_link,0,-0.087156,0.99619,0,0,0,1.5708,,,,,,,,
hand_r_index_Link2,2.9415E-05,0.016982,0.0017036,0,0,0,0.022,2.1935E-06,-1.4291E-07,-2.5969E-09,4.7034E-07,-9.719E-08,1.9628E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_index_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_index_Link2.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/8LZ.130.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/8LZ.240.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-1/5LZ.100.016-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1,hand_R_index joint coordinate2,hand_R_index joint 2,hand_r_index_joint,revolute,-0.002,0.044829,0.003922,0,0,0,hand_r_index_Link1,0,-0.087156,0.99619,0,0,0,1.5708,,,,,,,,
hand_r_middle_Link1,-0.00071285,0.020112,-1.5749E-05,0,0,0,0.026,5.5075E-06,2.2048E-07,1.4732E-07,1.1562E-06,-9.4418E-08,5.7365E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_middle_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_middle_Link1.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.004-1/8LZ.100.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-3;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/8LZ.130.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-4,hand_R_middle joint coordinate1,hand_R_middle joint 1,hand_r_middle_joint1,revolute,0.0022544,0.005,0.13076,1.5708,0,3.1416,hand_r_base_link,0,0,1,0,0,0,1.5708,,,,,,,,
hand_r_middle_Link2,2.9422E-05,0.017066,0.00021703,0,0,0,0.022,2.1935E-06,-1.426E-07,9.8701E-09,4.648E-07,3.3867E-08,1.9683E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_middle_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_middle_Link2.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/8LZ.240.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/8LZ.130.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-2/5LZ.100.016-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1,hand_R_middle joint coordinate2,hand_R_middle joint 2,hand_r_middle_joint2,revolute,-0.002,0.045,0,0,0,0,hand_r_middle_Link1,0,0,1,0,0,0,1.5708,,,,,,,,
hand_r_ring_Link1,-0.00071285,0.020034,-0.0017685,0,0,0,0.026,5.5075E-06,2.3248E-07,1.2754E-07,1.1746E-06,3.047E-07,5.7181E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_ring_Link1.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_ring_Link1.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.006-1/5LZ.100.005-1/8LZ.100.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/8LZ.130.002-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.004-1/8LZ.100.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-3;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/GB／T818-2000十字槽盘头螺钉M2×12-4,hand_R_ring joint coordinate1,hand_R_ring joint 1,hand_r_ring_joint1,revolute,0.0022545,-0.019,0.12576,1.5708,0,3.1416,hand_r_base_link,0,0.087156,0.99619,0,0,0,1.5708,,,,,,,,
hand_r_ring_Link2,3.1125E-05,0.018002,-0.0013445,0,0,0,0.022,2.1884E-06,-1.4119E-07,2.2262E-08,4.7697E-07,1.6354E-07,1.9418E-06,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_ring_Link2.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://LZ-SG002-URDF-R.SLDASM/meshes/hand_r_ring_Link2.STL,,5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.100.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/8LZ.130.001-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/5LZ.100.015-1/5LZ.100.014-1/5LZ.100.013-1/5LZ.100.012-1/5LZ.100.011-1/5LZ.100.008-1/5LZ.100.003-1/5LZ.100.002-1/8LZ.140.003-1;5LZ.300.034-1/5LZ.300.033-1/5LZ.300.032-1/5LZ.300.031-1/5LZ.300.030-1/5LZ.300.029-1/5LZ.300.028-1/5LZ.300.027-1/5LZ.100.001-3/5LZ.100.016-1/GB／T818-2000十字槽盘头螺钉M1.6×5-1,hand_R_ring joint coordinate2,hand_R_ring joint 2,hand_r_ring_joint2,revolute,-0.002,0.044829,-0.003922,0,0,0,hand_r_ring_Link1,0,0.087156,0.99619,0,0,0,1.5708,,,,,,,,
